"BANKID","ADDRESS","CBSA","CBSA_DIV","CBSA_DIV_FLG","CBSA_DIV_NO","CBSA_METRO","CBSA_METRO_FLG","CBSA_METRO_NAME","CBSA_MICRO_FLG","CBSA_NO","CERT","CITY","COUNTY","ESTYMD","FI_UNINUM","MAINOFF","NAME","OFFNAME","OFFNUM","RUNDATE","SERVTYPE","STALP","STCNTY","STNAME","UNINUM","ZIP","AUTO_UNIQUE_ID_2021-06-10_Cristinakim30_SDIC_Banks_all","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType"
"2202","2303 North Cottonwood Drive","El Centro, CA"," ","0","0","20940","1","El Centro, CA","0","20940","628","El Centro","Imperial","7/1/2002","417","0","Jpmorgan Chase Bank, National Association","Imperial Valley Branch","5574","6/10/2021","11","CA","6025","California","433482","92243",1,"USCGeocoder",298.4882,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.8151862,-115.5704783,"Relaxed","","","","","","","","","","","","","",""
"2749","1271 Tavern Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Alpine","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Alpine Branch","4755","6/10/2021","11","CA","6073","California","273813","91901",2,"USCGeocoder",171.8761,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.8381316,-116.777895,"Exact","","","","","","","","","","","","","",""
"2750","4500 Bonita Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Bonita","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Bonita Branch","4761","6/10/2021","11","CA","6073","California","273841","91902",3,"USCGeocoder",301.5856,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.6610963,-117.0308647,"Exact","","","","","","","","","","","","","",""
"2751","2003 San Elijo Ave","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Cardiff By The Sea","San Diego","2/19/2019","417","0","Jpmorgan Chase Bank, National Association","Cardiff By The Sea","8293","6/10/2021","11","CA","6073","California","614806","92007",4,"USCGeocoder",834.5607,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3810.82300022687","LinearInterpolationAddressRange","StreetSegment","98.9940828402367","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.0224981032032,-117.283246585589,"Relaxed","","","","","","","","","","","","","",""
"2752","2580 El Camino Real","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","7/8/1957","417","0","Jpmorgan Chase Bank, National Association","El Camino Real And Marron Branch","4975","6/10/2021","11","CA","6073","California","282801","92008",5,"USCGeocoder",484.4098,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","98.9349112426036","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.1783896,-117.3257694,"Relaxed","","","","","","","","","","","","","",""
"2753","699 Grand Ave","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","1/1/1929","417","0","Jpmorgan Chase Bank, National Association","Grand And Madison Branch","4739","6/10/2021","11","CA","6073","California","268553","92008",6,"USCGeocoder",171.8794,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.1615471,-117.3476609,"Exact","","","","","","","","","","","","","",""
"2754","2219 Palomar Airport Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","11/6/1981","417","0","Jpmorgan Chase Bank, National Association","Palomar Airport Branch","5000","6/10/2021","11","CA","6073","California","188368","92011",7,"USCGeocoder",312.5131,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","52377.5785466861","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.1263946995663,-117.273702021195,"Exact","","","","","","","","","","","","","",""
"2755","7176 Avenida Encinas","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","12/16/2009","417","0","Jpmorgan Chase Bank, National Association","Poinsettia Village Bnkg Ctr Branch","7061","6/10/2021","11","CA","6073","California","500159","92011",8,"USCGeocoder",546.8891,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5646.33809736231","LinearInterpolationAddressRange","StreetSegment","92.0118343195266","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.0997343623713,-117.311478954061,"Relaxed","","","","","","","","","","","","","",""
"2756","2663 Gateway Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","2/1/2011","417","0","Jpmorgan Chase Bank, National Association","Bressi Ranch Banking Center Branch","7213","6/10/2021","11","CA","6073","California","517251","92009",9,"USCGeocoder",78.129,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.1263933,-117.2524268,"Exact","","","","","","","","","","","","","",""
"2757","6998 El Camino Real","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","10/23/2017","417","0","Jpmorgan Chase Bank, National Association","La Costa","8038","6/10/2021","11","CA","6073","California","594101","92009",10,"USCGeocoder",62.5035,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.1026835,-117.2660869,"Exact","","","","","","","","","","","","","",""
