BANK ID ,ADDRESS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP
2202,2303 North Cottonwood Drive,"El Centro, CA", ,0,0,20940,1,"El Centro, CA",0,20940,628,El Centro,Imperial,7/1/2002,417,0,"Jpmorgan Chase Bank, National Association",Imperial Valley Branch,5574,6/10/2021,11,CA,6025,California,433482,92243
2749,1271 Tavern Road,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Alpine,San Diego,11/1/1934,417,0,"Jpmorgan Chase Bank, National Association",Alpine Branch,4755,6/10/2021,11,CA,6073,California,273813,91901
2750,4500 Bonita Road,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Bonita,San Diego,11/1/1934,417,0,"Jpmorgan Chase Bank, National Association",Bonita Branch,4761,6/10/2021,11,CA,6073,California,273841,91902
2751,2003 San Elijo Ave,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Cardiff By The Sea,San Diego,2/19/2019,417,0,"Jpmorgan Chase Bank, National Association",Cardiff By The Sea,8293,6/10/2021,11,CA,6073,California,614806,92007
2752,2580 El Camino Real,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,7/8/1957,417,0,"Jpmorgan Chase Bank, National Association",El Camino Real And Marron Branch,4975,6/10/2021,11,CA,6073,California,282801,92008
2753,699 Grand Ave,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,1/1/1929,417,0,"Jpmorgan Chase Bank, National Association",Grand And Madison Branch,4739,6/10/2021,11,CA,6073,California,268553,92008
2754,2219 Palomar Airport Road,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,11/6/1981,417,0,"Jpmorgan Chase Bank, National Association",Palomar Airport Branch,5000,6/10/2021,11,CA,6073,California,188368,92011
2755,7176 Avenida Encinas,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,12/16/2009,417,0,"Jpmorgan Chase Bank, National Association",Poinsettia Village Bnkg Ctr Branch,7061,6/10/2021,11,CA,6073,California,500159,92011
2756,2663 Gateway Road,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,2/1/2011,417,0,"Jpmorgan Chase Bank, National Association",Bressi Ranch Banking Center Branch,7213,6/10/2021,11,CA,6073,California,517251,92009
2757,6998 El Camino Real,"San Diego-Chula Vista-Carlsbad, CA", ,0,0,41740,1,"San Diego-Chula Vista-Carlsbad, CA",0,41740,628,Carlsbad,San Diego,10/23/2017,417,0,"Jpmorgan Chase Bank, National Association",La Costa,8038,6/10/2021,11,CA,6073,California,594101,92009
