id,Clean ID ,Geographic Area Name,Total,Total MOE,TOTAL WHITE ALONE,TOTAL BLACK ,TOTAL NATIVE AMERICAN,TOTAL ASIAN ,NATIVE HAWAIIAN PACIFIC ISLANDER,OTHER RACE,TWO OR MORE ,LATINO,White Percentage,Black Percentage,Native American Percentage,Asian Pecentage,Native Hawaiian PI percentage,Latino Percentage 
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",3120,208,2317,107,0,391,0,0,187,118,74.26282051,3.429487179,0,12.53205128,0,3.782051282
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",2007,120,1475,52,4,171,0,0,131,174,73.49277529,2.590931739,0.199302441,8.520179372,0,8.669656203
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",5051,309,3434,459,0,590,23,97,97,351,67.98653732,9.087309444,0,11.68085528,0.455355375,6.949118986
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",4007,344,2554,266,35,420,0,0,247,485,63.7384577,6.63838283,0.873471425,10.4816571,0,12.10381832
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",4124,357,1874,882,0,446,22,6,504,390,45.44131911,21.38700291,0,10.81474297,0.533462658,9.456838021
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",1745,133,860,358,3,169,15,33,176,131,49.28366762,20.51575931,0.171919771,9.684813754,0.859598854,7.507163324
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",5128,447,1963,1448,0,329,0,0,394,994,38.2800312,28.23712949,0,6.41575663,0,19.38377535
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",4069,442,1772,947,8,618,0,0,292,432,43.54878348,23.27353158,0.196608503,15.18800688,0,10.61685918
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",2471,285,1029,711,61,101,0,25,153,391,41.64305949,28.7737758,2.46863618,4.087414002,0,15.82355322
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",6133,501,2051,1862,0,412,95,25,540,1148,33.44203489,30.36034567,0,6.7177564,1.548997228,18.71840861
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",4287,354,2246,332,0,849,12,69,318,461,52.39094938,7.744343364,0,19.80405878,0.279916025,10.75344063
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",2619,182,1598,295,2,301,0,0,104,319,61.01565483,11.26384116,0.076365025,11.49293624,0,12.18022146
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",3921,263,1506,1118,24,657,0,0,219,397,38.40856924,28.5131344,0.612088753,16.75592961,0,10.12496812
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",4732,504,1218,1511,73,570,15,52,396,897,25.73964497,31.93153001,1.542688081,12.04564666,0.316990702,18.95604396
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",2839,368,1048,1060,0,129,24,0,177,401,36.91440648,37.33709052,0,4.54385347,0.845368087,14.12469179
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",2289,217,656,822,0,239,21,0,92,459,28.65880297,35.91087811,0,10.44124072,0.917431193,20.05242464
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",3018,339,1173,514,0,360,7,0,160,804,38.8667992,17.03114645,0,11.92842942,0.231941683,26.64015905
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",1801,265,603,688,4,99,0,20,22,365,33.48139922,38.20099944,0.222098834,5.496946141,0,20.2665186
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",2477,210,740,787,31,405,0,0,112,402,29.87484861,31.77230521,1.251513928,16.3504239,0,16.22930965
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",2866,375,691,1387,0,362,10,0,154,262,24.1102582,48.39497558,0,12.63084438,0.348918353,9.141660851
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",1781,222,194,1040,0,237,0,0,47,263,10.89275688,58.39416058,0,13.30713083,0,14.76698484
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",1243,117,179,322,6,481,0,0,50,205,14.4006436,25.90506838,0.482703138,38.69670153,0,16.4923572
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",1890,228,439,799,12,205,0,13,33,389,23.22751323,42.27513228,0.634920635,10.84656085,0,20.58201058
1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",4480,435,1263,1706,26,832,0,0,372,281,28.19196429,38.08035714,0.580357143,18.57142857,0,6.272321429
1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",1406,126,303,241,3,528,0,19,64,248,21.55049787,17.14082504,0.213371266,37.55334282,0,17.63869132
1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",2905,216,189,127,10,2366,72,14,61,66,6.506024096,4.371772806,0.344234079,81.44578313,2.47848537,2.271944923
1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",2101,256,585,371,6,795,12,8,50,274,27.84388386,17.65825797,0.285578296,37.83912423,0.571156592,13.04140885
1400000US06001403300,6001403300,"Census Tract 4033, Alameda County, California",4178,440,1093,312,100,2182,0,0,239,252,26.16084251,7.467687889,2.393489708,52.22594543,0,6.031594064
