STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,gl_banks_geolocated210610.xlsx - SD_county_tracts_white_GEO_ID,gl_banks_geolocated210610.xlsx - SD_county_tracts_white_NAME,gl_banks_geolocated210610.xlsx - SD_county_tracts_white_P1_001N,gl_banks_geolocated210610.xlsx - SD_county_tracts_white_P1_003N,gl_banks_geolocated210610.xlsx - SD_county_tracts_white_P1_003N/P1_001N,NUMPOINTS
"06","073","020811","06073020811","208.11",Census Tract 208.11,G5020,S,"47998881","0","+33.0026703","-116.7739397",1400000US06073020811,"Census Tract 208.11, San Diego County, California","5923","4668","0.79",0
"06","073","010015","06073010015","100.15",Census Tract 100.15,G5020,S,"40475325","0","+32.5601548","-116.9530008",1400000US06073010015,"Census Tract 100.15, San Diego County, California","4582","756","0.16",5
"06","073","020810","06073020810","208.10",Census Tract 208.10,G5020,S,"39012365","0","+33.0348018","-116.7876255",1400000US06073020810,"Census Tract 208.10, San Diego County, California","5349","4165","0.78",0
"06","073","021900","06073021900","219",Census Tract 219,G5020,S,"5953517","3548500","+32.6650174","-117.1159847",1400000US06073021900,"Census Tract 219, San Diego County, California","2625","779","0.3",4
"06","073","020026","06073020026","200.26",Census Tract 200.26,G5020,S,"3803528","21736","+33.1292602","-117.1882353",1400000US06073020026,"Census Tract 200.26, San Diego County, California","4345","3079","0.71",3
"06","073","020028","06073020028","200.28",Census Tract 200.28,G5020,S,"456993","0","+33.1418052","-117.1700975",1400000US06073020028,"Census Tract 200.28, San Diego County, California","3690","694","0.19",0
"06","073","013421","06073013421","134.21",Census Tract 134.21,G5020,S,"2476407","0","+32.6453675","-117.0210109",1400000US06073013421,"Census Tract 134.21, San Diego County, California","4720","1269","0.27",1
"06","073","000400","06073000400","4",Census Tract 4,G5020,S,"1177454","0","+32.7533382","-117.1630702",1400000US06073000400,"Census Tract 4, San Diego County, California","3794","2409","0.63",3
"06","073","021206","06073021206","212.06",Census Tract 212.06,G5020,S,"42260777","588481","+32.8633022","-116.7519653",1400000US06073021206,"Census Tract 212.06, San Diego County, California","3039","2376","0.78",0
"06","073","017051","06073017051","170.51",Census Tract 170.51,G5020,S,"2484502","0","+33.0037084","-117.0665065",1400000US06073017051,"Census Tract 170.51, San Diego County, California","4669","2774","0.59",0
"06","073","017109","06073017109","171.09",Census Tract 171.09,G5020,S,"4415562","0","+33.0779360","-117.2333360",1400000US06073017109,"Census Tract 171.09, San Diego County, California","6845","5215","0.76",3
"06","073","019809","06073019809","198.09",Census Tract 198.09,G5020,S,"2914452","0","+33.1754290","-117.2666505",1400000US06073019809,"Census Tract 198.09, San Diego County, California","4096","3108","0.76",0
"06","073","020029","06073020029","200.29",Census Tract 200.29,G5020,S,"5459075","0","+33.1392223","-117.1894649",1400000US06073020029,"Census Tract 200.29, San Diego County, California","6854","2541","0.37",7
"06","073","020309","06073020309","203.09",Census Tract 203.09,G5020,S,"2835189","0","+33.1355577","-117.1089820",1400000US06073020309,"Census Tract 203.09, San Diego County, California","4093","1578","0.39",0
"06","073","021205","06073021205","212.05",Census Tract 212.05,G5020,S,"9931513","1475","+32.8257265","-116.7811392",1400000US06073021205,"Census Tract 212.05, San Diego County, California","7029","4980","0.71",3
"06","073","000500","06073000500","5",Census Tract 5,G5020,S,"1108651","0","+32.7605138","-117.1519499",1400000US06073000500,"Census Tract 5, San Diego County, California","3012","2070","0.69",0
"06","073","000600","06073000600","6",Census Tract 6,G5020,S,"932839","0","+32.7529575","-117.1518411",1400000US06073000600,"Census Tract 6, San Diego County, California","3182","2137","0.67",1
"06","073","003103","06073003103","31.03",Census Tract 31.03,G5020,S,"2039646","0","+32.7070141","-117.0441008",1400000US06073003103,"Census Tract 31.03, San Diego County, California","6242","978","0.16",0
"06","073","003105","06073003105","31.05",Census Tract 31.05,G5020,S,"1210504","0","+32.7106980","-117.0295699",1400000US06073003105,"Census Tract 31.05, San Diego County, California","4261","762","0.18",0
"06","073","002902","06073002902","29.02",Census Tract 29.02,G5020,S,"1570523","0","+32.7604865","-117.0590339",1400000US06073002902,"Census Tract 29.02, San Diego County, California","6540","3464","0.53",2
"06","073","002903","06073002903","29.03",Census Tract 29.03,G5020,S,"1407467","0","+32.7498572","-117.0553352",1400000US06073002903,"Census Tract 29.03, San Diego County, California","3826","1608","0.42",0
"06","073","019903","06073019903","199.03",Census Tract 199.03,G5020,S,"7976950","0","+33.1781569","-117.1972425",1400000US06073019903,"Census Tract 199.03, San Diego County, California","4718","2696","0.57",0
"06","073","017022","06073017022","170.22",Census Tract 170.22,G5020,S,"4465535","11354","+32.9046416","-117.1049363",1400000US06073017022,"Census Tract 170.22, San Diego County, California","5665","3544","0.63",2
"06","073","009901","06073009901","99.01",Census Tract 99.01,G5020,S,"5639924","1665633","+32.6853619","-117.2455744",1400000US06073009901,"Census Tract 99.01, San Diego County, California","678","482","0.71",0
"06","073","017045","06073017045","170.45",Census Tract 170.45,G5020,S,"1950190","0","+32.9301307","-117.0679405",1400000US06073017045,"Census Tract 170.45, San Diego County, California","2703","1339","0.5",0
"06","073","013503","06073013503","135.03",Census Tract 135.03,G5020,S,"2761169","0","+32.7392499","-116.9812065",1400000US06073013503,"Census Tract 135.03, San Diego County, California","6168","2710","0.44",0
"06","073","020017","06073020017","200.17",Census Tract 200.17,G5020,S,"4884095","0","+33.1484967","-117.2227552",1400000US06073020017,"Census Tract 200.17, San Diego County, California","3187","1452","0.46",1
"06","073","015403","06073015403","154.03",Census Tract 154.03,G5020,S,"3070763","0","+32.7707042","-116.9501574",1400000US06073015403,"Census Tract 154.03, San Diego County, California","2545","2068","0.81",2
"06","073","010103","06073010103","101.03",Census Tract 101.03,G5020,S,"3340456","3447455","+32.5996071","-117.0958443",1400000US06073010103,"Census Tract 101.03, San Diego County, California","6248","1713","0.27",3
"06","073","009505","06073009505","95.05",Census Tract 95.05,G5020,S,"17512201","24725","+32.8437051","-117.0656323",1400000US06073009505,"Census Tract 95.05, San Diego County, California","6559","4091","0.62",0
"06","073","018601","06073018601","186.01",Census Tract 186.01,G5020,S,"4352142","44765","+33.2266523","-117.3615455",1400000US06073018601,"Census Tract 186.01, San Diego County, California","4622","2681","0.58",0
"06","073","008303","06073008303","83.03",Census Tract 83.03,G5020,S,"4406128","0","+32.8407730","-117.2571775",1400000US06073008303,"Census Tract 83.03, San Diego County, California","3531","2682","0.76",1
"06","073","006200","06073006200","62",Census Tract 62,G5020,S,"3629217","0","+32.7318242","-117.1920308",1400000US06073006200,"Census Tract 62, San Diego County, California","109","95","0.87",0
"06","073","012200","06073012200","122",Census Tract 122,G5020,S,"1724142","47893","+32.6639283","-117.0738537",1400000US06073012200,"Census Tract 122, San Diego County, California","3513","762","0.22",0
"06","073","018504","06073018504","185.04",Census Tract 185.04,G5020,S,"6268865","87392","+33.1869869","-117.3390876",1400000US06073018504,"Census Tract 185.04, San Diego County, California","6797","4651","0.68",2
"06","073","020801","06073020801","208.01",Census Tract 208.01,G5020,S,"133873989","1528900","+33.0051954","-116.9384176",1400000US06073020801,"Census Tract 208.01, San Diego County, California","5295","4053","0.77",0
"06","073","018608","06073018608","186.08",Census Tract 186.08,G5020,S,"3936495","147401","+33.2541915","-117.3215948",1400000US06073018608,"Census Tract 186.08, San Diego County, California","3103","1578","0.51",0
"06","073","005900","06073005900","59",Census Tract 59,G5020,S,"419239","0","+32.7293439","-117.1642626",1400000US06073005900,"Census Tract 59, San Diego County, California","2959","2096","0.71",0
"06","073","020500","06073020500","205",Census Tract 205,G5020,S,"2082707","0","+33.1115032","-117.0899733",1400000US06073020500,"Census Tract 205, San Diego County, California","4952","1598","0.32",2
"06","073","019001","06073019001","190.01",Census Tract 190.01,G5020,S,"164873149","138703","+33.4431620","-117.3143111",1400000US06073019001,"Census Tract 190.01, San Diego County, California","6395","4526","0.71",0
"06","073","003208","06073003208","32.08",Census Tract 32.08,G5020,S,"1360630","0","+32.6786839","-117.0452404",1400000US06073003208,"Census Tract 32.08, San Diego County, California","6944","970","0.14",0
"06","073","013414","06073013414","134.14",Census Tract 134.14,G5020,S,"2868956","0","+32.6311503","-117.0127578",1400000US06073013414,"Census Tract 134.14, San Diego County, California","7375","2073","0.28",0
"06","073","013415","06073013415","134.15",Census Tract 134.15,G5020,S,"1160609","0","+32.6383744","-116.9983443",1400000US06073013415,"Census Tract 134.15, San Diego County, California","1640","521","0.32",0
"06","073","013416","06073013416","134.16",Census Tract 134.16,G5020,S,"2205635","0","+32.6481408","-116.9934935",1400000US06073013416,"Census Tract 134.16, San Diego County, California","3930","1637","0.42",0
"06","073","013417","06073013417","134.17",Census Tract 134.17,G5020,S,"2013807","0","+32.6590400","-116.9844864",1400000US06073013417,"Census Tract 134.17, San Diego County, California","1971","706","0.36",0
"06","073","013418","06073013418","134.18",Census Tract 134.18,G5020,S,"1738413","73830","+32.6499238","-116.9778110",1400000US06073013418,"Census Tract 134.18, San Diego County, California","6095","1846","0.3",1
"06","073","018517","06073018517","185.17",Census Tract 185.17,G5020,S,"1941354","0","+33.1879914","-117.3027414",1400000US06073018517,"Census Tract 185.17, San Diego County, California","3996","2401","0.6",0
"06","073","018518","06073018518","185.18",Census Tract 185.18,G5020,S,"990329","0","+33.1897674","-117.2916515",1400000US06073018518,"Census Tract 185.18, San Diego County, California","3132","989","0.32",0
"06","073","018519","06073018519","185.19",Census Tract 185.19,G5020,S,"1553699","0","+33.1943995","-117.2838078",1400000US06073018519,"Census Tract 185.19, San Diego County, California","5575","1738","0.31",0
"06","073","020706","06073020706","207.06",Census Tract 207.06,G5020,S,"16685802","0","+33.0998057","-117.0388233",1400000US06073020706,"Census Tract 207.06, San Diego County, California","6656","4676","0.7",0
"06","073","000700","06073000700","7",Census Tract 7,G5020,S,"780041","0","+32.7447605","-117.1513507",1400000US06073000700,"Census Tract 7, San Diego County, California","4072","2832","0.7",0
"06","073","000800","06073000800","8",Census Tract 8,G5020,S,"633882","0","+32.7447840","-117.1420270",1400000US06073000800,"Census Tract 8, San Diego County, California","4890","2897","0.59",0
"06","073","013802","06073013802","138.02",Census Tract 138.02,G5020,S,"707857","0","+32.7345888","-117.0104110",1400000US06073013802,"Census Tract 138.02, San Diego County, California","3311","980","0.3",0
"06","073","018609","06073018609","186.09",Census Tract 186.09,G5020,S,"1315947","0","+33.2501756","-117.3150563",1400000US06073018609,"Census Tract 186.09, San Diego County, California","6286","2130","0.34",0
"06","073","013505","06073013505","135.05",Census Tract 135.05,G5020,S,"2724974","0","+32.7373225","-116.9642350",1400000US06073013505,"Census Tract 135.05, San Diego County, California","5060","2553","0.5",0
"06","073","013506","06073013506","135.06",Census Tract 135.06,G5020,S,"6724687","88959","+32.7286748","-116.9525333",1400000US06073013506,"Census Tract 135.06, San Diego County, California","4422","1766","0.4",0
"06","073","013604","06073013604","136.04",Census Tract 136.04,G5020,S,"3597361","0","+32.7537863","-116.9177769",1400000US06073013604,"Census Tract 136.04, San Diego County, California","6256","4670","0.75",0
"06","073","001000","06073001000","10",Census Tract 10,G5020,S,"849114","0","+32.7602503","-117.1417054",1400000US06073001000,"Census Tract 10, San Diego County, California","4690","2865","0.61",0
"06","073","001100","06073001100","11",Census Tract 11,G5020,S,"935954","0","+32.7652836","-117.1335163",1400000US06073001100,"Census Tract 11, San Diego County, California","3000","1839","0.61",0
"06","073","001400","06073001400","14",Census Tract 14,G5020,S,"746326","0","+32.7447400","-117.1330809",1400000US06073001400,"Census Tract 14, San Diego County, California","3205","2203","0.69",1
"06","073","001500","06073001500","15",Census Tract 15,G5020,S,"793272","0","+32.7437315","-117.1233878",1400000US06073001500,"Census Tract 15, San Diego County, California","3827","2402","0.63",2
"06","073","019406","06073019406","194.06",Census Tract 194.06,G5020,S,"1991308","0","+33.1994127","-117.2642201",1400000US06073019406,"Census Tract 194.06, San Diego County, California","4959","2337","0.47",0
"06","073","013905","06073013905","139.05",Census Tract 139.05,G5020,S,"2204759","0","+32.7222294","-116.9900857",1400000US06073013905,"Census Tract 139.05, San Diego County, California","4084","1563","0.38",0
"06","073","013907","06073013907","139.07",Census Tract 139.07,G5020,S,"1339987","0","+32.7202480","-117.0027481",1400000US06073013907,"Census Tract 139.07, San Diego County, California","4159","927","0.22",0
"06","073","013908","06073013908","139.08",Census Tract 139.08,G5020,S,"1128932","0","+32.7112095","-117.0050566",1400000US06073013908,"Census Tract 139.08, San Diego County, California","3972","903","0.23",1
"06","073","013909","06073013909","139.09",Census Tract 139.09,G5020,S,"1080047","0","+32.7116033","-116.9898498",1400000US06073013909,"Census Tract 139.09, San Diego County, California","4521","1252","0.28",0
